id,source,name,price,storage,cp_value,link
DYAJ2M-A900JNSHR,PChome,【Ａ++級福利品】iPhone 15 Pro 512GB 原色鈦金屬,22000,512,232.73,https://24h.pchome.com.tw/prod/DYAJ2M-A900JNSHR
DYAJ2M-A900JMZB0,PChome,iPhone 15 Pro 512G 藍色 保固6個月 A++福利品,22990,512,222.71,https://24h.pchome.com.tw/prod/DYAJ2M-A900JMZB0
DYAJ2M-A900JMZAX,PChome,iPhone 15 Pro 512G 原色 保固6個月 A++福利品,22990,512,222.71,https://24h.pchome.com.tw/prod/DYAJ2M-A900JMZAX
DYAJDO-A900JTHOH,PChome,【A+級福利品】iPhone 15 (256G)-粉色,17490,256,146.37,https://24h.pchome.com.tw/prod/DYAJDO-A900JTHOH
DYAJ2M-A900JI10L,PChome,iPhone 15 Pro 256G 贈充電殼貼組 保固6個月 福利品,19280,256,132.78,https://24h.pchome.com.tw/prod/DYAJ2M-A900JI10L
DYAJJT-A900JTHS0,PChome,【A+級福利品】iPhone 15 Plus (256G)-藍色,19490,256,131.35,https://24h.pchome.com.tw/prod/DYAJJT-A900JTHS0
DYAJJT-A900JTHS4,PChome,【A+級福利品】iPhone 15 Plus (256G)-粉色,19490,256,131.35,https://24h.pchome.com.tw/prod/DYAJJT-A900JTHS4
DYAJ2M-A900JNSRC,PChome,【Ａ++級福利品】iPhone 15 Pro 256GB 黑色鈦金屬,19500,256,131.28,https://24h.pchome.com.tw/prod/DYAJ2M-A900JNSRC
DYAJ2M-A900JMYY8,PChome,【A++級福利品】iPhone 15 Pro 256GB 原色鈦金屬(贈三豪禮),20190,256,126.8,https://24h.pchome.com.tw/prod/DYAJ2M-A900JMYY8
DYAJ2M-A900JJ567,PChome,【Ａ++級福利品】iPhone 15 Pro 256GB,20900,256,122.49,https://24h.pchome.com.tw/prod/DYAJ2M-A900JJ567
DYAJ2M-A900JMNS8,PChome,【福利品】Apple iPhone 15 Pro (256G)  原色鈦金屬,21200,256,120.75,https://24h.pchome.com.tw/prod/DYAJ2M-A900JMNS8
DYAJJT-A900JWLNN,PChome,【Ａ++級福利品】iPhone 15 Plus 128G 綠,17500,128,73.14,https://24h.pchome.com.tw/prod/DYAJJT-A900JWLNN
DYAJJT-A900JWLNI,PChome,【Ａ++級福利品】iPhone 15 Plus 128G 藍,17500,128,73.14,https://24h.pchome.com.tw/prod/DYAJJT-A900JWLNI
DYAJ2M-A900JRNKY,PChome,【A++級福利品】iPhone 15 Pro 128GB 黑色鈦金屬 (贈三豪禮),18490,128,69.23,https://24h.pchome.com.tw/prod/DYAJ2M-A900JRNKY
DYAJ2M-A900JT9D5,PChome,【A++級福利品】iPhone 15 Pro 128GB 原色鈦金屬 (贈三豪禮),18490,128,69.23,https://24h.pchome.com.tw/prod/DYAJ2M-A900JT9D5
DYAJ2M-A900JVSAY,PChome,【A++級福利品】iPhone 15 Pro 128GB 白色鈦金屬 (贈三豪禮),18490,128,69.23,https://24h.pchome.com.tw/prod/DYAJ2M-A900JVSAY
DYAJ2M-A900JNSRJ,PChome,【Ａ++級福利品】iPhone 15 Pro 128GB 黑色鈦金屬,18500,128,69.19,https://24h.pchome.com.tw/prod/DYAJ2M-A900JNSRJ
DYAJ2M-A900JNSRH,PChome,【Ａ++級福利品】iPhone 15 Pro 128GB 藍色鈦金屬,18500,128,69.19,https://24h.pchome.com.tw/prod/DYAJ2M-A900JNSRH
DYAJ2M-A900JNSJX,PChome,【Ａ++級福利品】iPhone 15 Pro 128GB 原色鈦金屬,18500,128,69.19,https://24h.pchome.com.tw/prod/DYAJ2M-A900JNSJX
DYAJ2M-A900JI0S8,PChome,iPhone 15 Pro 128G 贈充電殼貼組 保固6個月 福利品,18580,128,68.89,https://24h.pchome.com.tw/prod/DYAJ2M-A900JI0S8
