id,source,store,name,price,storage,cp_value,link
https://tw.buy.yahoo.com/gdsale/福利品-Apple-iPhone16-Pro-Max-1TB-6-9吋-智慧型手機-贈快充組-保護組-11897738.html,BigGo,Yahoo購物中心,【福利品】Apple iPhone16 Pro Max 1TB 6.9吋 智慧型手機 贈快充組、保護組,38990,1024,262.63,https://biggo.com.twhttps://tw.buy.yahoo.com/gdsale/福利品-Apple-iPhone16-Pro-Max-1TB-6-9吋-智慧型手機-贈快充組-保護組-11897738.html
DYAJMM-A900JP3M5,PChome,PChome 24h,【PC+福利品】 iPhone 16 Pro Max 1TB (A+),42980,1024,238.25,https://24h.pchome.com.tw/prod/DYAJMM-A900JP3M5
DYAJMM-A900JP9LX,PChome,PChome 24h,【Ａ++級福利品】iPhone 16 Pro Max 512GB 黑色,34450,512,148.62,https://24h.pchome.com.tw/prod/DYAJMM-A900JP9LX
DYAJMM-A900JP9JX,PChome,PChome 24h,【Ａ++級福利品】iPhone 16 Pro Max 512GB 原色,34450,512,148.62,https://24h.pchome.com.tw/prod/DYAJMM-A900JP9JX
DYAJMM-A900JP9LW,PChome,PChome 24h,【Ａ++級福利品】iPhone 16 Pro Max 512GB 沙漠金,34450,512,148.62,https://24h.pchome.com.tw/prod/DYAJMM-A900JP9LW
DYAJMM-A900JP9M3,PChome,PChome 24h,【Ａ++級福利品】iPhone 16 Pro Max 512GB 白色,34450,512,148.62,https://24h.pchome.com.tw/prod/DYAJMM-A900JP9M3
https://tw.buy.yahoo.com/gdsale/福利品-Apple-iPhone16-Pro-Max-512G-6-9吋-智慧型手機-贈快充組-保護-11841256.html,BigGo,Yahoo購物中心,【福利品】Apple iPhone16 Pro Max 512G 6.9吋 智慧型手機 贈快充組、保護組,34880,512,146.79,https://biggo.com.twhttps://tw.buy.yahoo.com/gdsale/福利品-Apple-iPhone16-Pro-Max-512G-6-9吋-智慧型手機-贈快充組-保護-11841256.html
DYAJMM-A900JGM6X,PChome,PChome 24h,【Ａ++級福利品】iPhone 16 Pro Max 512GB,34990,512,146.33,https://24h.pchome.com.tw/prod/DYAJMM-A900JGM6X
DYAJMM-A900JI1B3,PChome,PChome 24h,iPhone 16 Pro Max 512G 贈充電殼貼組 保固6個月  福利品,34990,512,146.33,https://24h.pchome.com.tw/prod/DYAJMM-A900JI1B3
DYAJ2Q-A900JIR3W,PChome,PChome 24h,【CP認證福利品】iPhone 16 Pro Max 256GB 沙漠色鈦金屬,29500,256,86.78,https://24h.pchome.com.tw/prod/DYAJ2Q-A900JIR3W
DYAJA0-A900JWWQ0,PChome,PChome 24h,【CP認證福利品】iPhone 16 Pro Max 256GB 黑色鈦金屬,29500,256,86.78,https://24h.pchome.com.tw/prod/DYAJA0-A900JWWQ0
DYAJMM-A900JN6GZ,PChome,PChome 24h,【B++級福利品】iPhone 16 Pro Max 256GB 沙漠金,30500,256,83.93,https://24h.pchome.com.tw/prod/DYAJMM-A900JN6GZ
DYAJMM-A900JIIFA,PChome,PChome 24h,【Ａ++級福利品】iPhone 16 Pro Max 256GB,30900,256,82.85,https://24h.pchome.com.tw/prod/DYAJMM-A900JIIFA
DYAJMM-A900JI10D,PChome,PChome 24h,iPhone 16 Pro Max 256G 贈充電殼貼組 保固6個月 福利品,30990,256,82.61,https://24h.pchome.com.tw/prod/DYAJMM-A900JI10D
https://tw.buy.yahoo.com/gdsale/福利品-Apple-iPhone16-Pro-Max-256G-6-9吋-智慧型手機-贈快充組-保護-11497407.html,BigGo,Yahoo購物中心,【福利品】Apple iPhone16 Pro Max 256G 6.9吋 智慧型手機 贈快充組、保護組,30990,256,82.61,https://biggo.com.twhttps://tw.buy.yahoo.com/gdsale/福利品-Apple-iPhone16-Pro-Max-256G-6-9吋-智慧型手機-贈快充組-保護-11497407.html
DYAJM9-A900JD4Z4,PChome,PChome 24h,【PC+福利品】 iPhone 16 Pro Max 256GB (A+),31670,256,80.83,https://24h.pchome.com.tw/prod/DYAJM9-A900JD4Z4
DYAJMM-A900JQ6A0,PChome,PChome 24h,【Ａ++級福利品】iPhone 16 Pro Max 256GB 沙漠色,31800,256,80.5,https://24h.pchome.com.tw/prod/DYAJMM-A900JQ6A0
DYAJMM-A900JWVGB,PChome,PChome 24h,【特級福利品】iPhone 16 Pro Max 256GB 沙漠色鈦金屬,32900,256,77.81,https://24h.pchome.com.tw/prod/DYAJMM-A900JWVGB
DYAJMM-A900JVGID,PChome,PChome 24h,【特級福利品】iPhone 16 Pro Max 256GB 沙漠色鈦金屬,32900,256,77.81,https://24h.pchome.com.tw/prod/DYAJMM-A900JVGID
https://shopee.tw/product/26661247/26442905757,BigGo,蝦皮商城,Apple iPhone16 Pro Max 256G  原鈦色【A級福利品】,33500,256,76.42,https://biggo.com.twhttps://shopee.tw/product/26661247/26442905757
https://shopee.tw/product/26661247/42074081856,BigGo,蝦皮商城,Apple iPhone16 Pro Max 256G  白色【A級福利品】,33500,256,76.42,https://biggo.com.twhttps://shopee.tw/product/26661247/42074081856
https://shopee.tw/product/26661247/44474068627,BigGo,蝦皮商城,Apple iPhone16 Pro Max 256G  金色【A級福利品】,33500,256,76.42,https://biggo.com.twhttps://shopee.tw/product/26661247/44474068627
https://shopee.tw/product/26661247/41924058138,BigGo,蝦皮商城,Apple iPhone16 Pro Max 256G  黑色【A級福利品】,33500,256,76.42,https://biggo.com.twhttps://shopee.tw/product/26661247/41924058138
